
select *
from (
  select
    t.opcode,
    (select name from opcode where id=t.opcode),
    t.args,
    (select fullmethodname from cp_methodref_view where methodrefid=t.args),
    count(*) as cc
  from (
    select c.opcode, c.args
    from (
      select opcodeindex-1 as opcodeindex from code
      where opcode=(select id from opcode where name='checkcast')
    ) t
    left join code c on c.opcodeindex=t.opcodeindex
  ) t
  group by opcode, args
)
order by cc desc
limit 100
;
opcode|(select name from opcode where id=t.opcode)|args|(select fullmethodname from cp_methodref_view where methodrefid=t.args)|cc
182|invokevirtual|54013|scala/collection/immutable/Map$.apply(Lscala/collection/Seq;)Lscala/collection/GenMap;|72546
184|invokestatic|1195133|org/apache/hadoop/yarn/webapp/hamlet/HamletImpl.setSelector(Lorg/apache/hadoop/yarn/webapp/hamlet/HamletSpec$CoreAttrs;Ljava/lang/String;)Lorg/apache/hadoop/yarn/webapp/hamlet/HamletSpec$CoreAttrs;|68601
182|invokevirtual|81464|scala/reflect/api/Names$TermNameExtractor.apply(Ljava/lang/String;)Lscala/reflect/api/Names$TermNameApi;|67166
182|invokevirtual|61047|scala/collection/Seq$.apply(Lscala/collection/Seq;)Lscala/collection/GenTraversable;|65481
185|invokeinterface|61402|scala/collection/Seq.map(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object;|64712
25|aload|11|HTTPClient/HTTPResponse.getStatusCode()I|64210
182|invokevirtual|62832|java/lang/invoke/SerializedLambda.getCapturedArg(I)Ljava/lang/Object;|64048
182|invokevirtual|70112|java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;|62738
184|invokestatic|12451|java/security/AccessController.doPrivileged(Ljava/security/PrivilegedAction;)Ljava/lang/Object;|56330
184|invokestatic|195628|clojure/lang/Symbol.intern(Ljava/lang/String;Ljava/lang/String;)Lclojure/lang/Symbol;|55377
182|invokevirtual|173304|groovy/lang/Reference.get()Ljava/lang/Object;|55214
185|invokeinterface|25835|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljava/lang/String;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52809
185|invokeinterface|25836|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljava/io/File;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52808
185|invokeinterface|25837|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljava/net/URL;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52808
185|invokeinterface|25838|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljava/io/InputStream;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52808
185|invokeinterface|25839|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljava/io/Reader;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52808
185|invokeinterface|25841|org/apache/xmlbeans/SchemaTypeLoader.parse(Lorg/w3c/dom/Node;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52808
185|invokeinterface|923|java/util/Map.remove(Ljava/lang/Object;)Ljava/lang/Object;|52550
185|invokeinterface|25842|org/apache/xmlbeans/SchemaTypeLoader.parse(Lorg/apache/xmlbeans/xml/stream/XMLInputStream;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|52460
182|invokevirtual|432|java/io/ObjectInputStream.readObject()Ljava/lang/Object;|52425
185|invokeinterface|25840|org/apache/xmlbeans/SchemaTypeLoader.parse(Ljavax/xml/stream/XMLStreamReader;Lorg/apache/xmlbeans/SchemaType;Lorg/apache/xmlbeans/XmlOptions;)Lorg/apache/xmlbeans/XmlObject;|51980
182|invokevirtual|350|java/lang/reflect/Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;|50791
192|checkcast|148|java/io/InputStream.close()V|49329
182|invokevirtual|895|java/util/ArrayList.toArray([Ljava/lang/Object;)[Ljava/lang/Object;|48711
185|invokeinterface|55595|java/util/concurrent/ConcurrentMap.get(Ljava/lang/Object;)Ljava/lang/Object;|48517
185|invokeinterface|25844|org/apache/xmlbeans/SchemaTypeSystem.resolveHandle(Ljava/lang/String;)Lorg/apache/xmlbeans/SchemaComponent;|47463
25|aload|12|java/lang/StringBuffer.<init>(Ljava/lang/String;)V|47292
184|invokestatic|67233|java/util/Arrays.copyOfRange([Ljava/lang/Object;II)[Ljava/lang/Object;|46713
182|invokevirtual|403833|scala/scalajs/js/Any$.fromFunction1(Lscala/Function1;)Lscala/scalajs/js/Function1;|45253
182|invokevirtual|71207|java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;|45036
0|nop|||44825
185|invokeinterface|3453877|org/jvnet/jaxb2_commons/lang/CopyStrategy.copy(Lorg/jvnet/jaxb2_commons/locator/ObjectLocator;Ljava/lang/Object;)Ljava/lang/Object;|44223
182|invokevirtual|61309|scala/Tuple3._3()Ljava/lang/Object;|43142
185|invokeinterface|56494|com/google/protobuf/Parser.parsePartialFrom(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Ljava/lang/Object;|43043
185|invokeinterface|56535|com/google/protobuf/Parser.parseFrom(Lcom/google/protobuf/ByteString;Lcom/google/protobuf/ExtensionRegistryLite;)Ljava/lang/Object;|42764
185|invokeinterface|56534|com/google/protobuf/Parser.parseFrom(Lcom/google/protobuf/ByteString;)Ljava/lang/Object;|42726
185|invokeinterface|56536|com/google/protobuf/Parser.parseFrom([B)Ljava/lang/Object;|42713
25|aload|13|java/lang/StringBuffer.append(Ljava/lang/Object;)Ljava/lang/StringBuffer;|42706
182|invokevirtual|56495|com/google/protobuf/InvalidProtocolBufferException.getUnfinishedMessage()Lcom/google/protobuf/MessageLite;|42705
185|invokeinterface|56537|com/google/protobuf/Parser.parseFrom([BLcom/google/protobuf/ExtensionRegistryLite;)Ljava/lang/Object;|42664
185|invokeinterface|81862|scala/collection/LinearSeqOptimized.apply(I)Ljava/lang/Object;|42117
