
select *
from (
  select
    t.opcode,
    (select name from opcode where id=t.opcode),
    t.args,
    (select fullmethodname from cp_methodref_view where methodrefid=t.args),
    count(*) as cc
  from (
    select c.opcode, c.args
    from (
      select opcodeindex-1 as opcodeindex from code
      where opcode=(select id from opcode where name='instanceof')
    ) t
    left join code c on c.opcodeindex=t.opcodeindex
  ) t
  group by opcode, args
)
order by cc desc
limit 100
;
opcode|(select name from opcode where id=t.opcode)|args|(select fullmethodname from cp_methodref_view where methodrefid=t.args)|cc
185|invokeinterface|173118|org/codehaus/groovy/runtime/callsite/CallSite.callGetProperty(Ljava/lang/Object;)Ljava/lang/Object;|2555
25|aload|41|HTTPClient/doc/HTTPClientExample.notifyDoit()V|2525
182|invokevirtual|6321|java/lang/reflect/InvocationTargetException.getCause()Ljava/lang/Throwable;|2520
25|aload|38|java/lang/Throwable.printStackTrace()V|2475
180|getfield|297307|be/yildiz/module/network/server/SessionListener.clientAuthenticated(Lbe/yildiz/module/network/server/Session;)V|2452
180|getfield|312186|io/netty/buffer/AbstractByteBuf.hasMemoryAddress()Z|2407
182|invokevirtual|2694|java/util/ArrayList.get(I)Ljava/lang/Object;|2395
184|invokestatic|575819|org/eclipse/jetty/util/component/ContainerLifeCycle$Bean.access$000(Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Bean;)Ljava/lang/Object;|2360
185|invokeinterface|173140|org/codehaus/groovy/runtime/callsite/CallSite.call(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;|2354
182|invokevirtual|2118|java/util/concurrent/ExecutionException.getCause()Ljava/lang/Throwable;|2296
180|getfield|297756|com/google/java/contract/core/agent/PreMain.getBytes(Ljava/io/File;)[B|2274
25|aload|40|java/lang/Object.notify()V|2186
180|getfield|455611|br/com/geraldoferraz/scanyourpath/searches/filters/arguments/ConstructorArgument.<init>(Ljava/lang/Class;Lbr/com/geraldoferraz/scanyourpath/util/enums/ParameterComparator;)V|2048
25|aload|43|java/awt/TextComponent.setText(Ljava/lang/String;)V|2035
180|getfield|397912|org/boris/winrun4j/RegistryKey.openKeyHandle(J[Ljava/lang/String;Z)J|2030
25|aload|44|HTTPClient/HTTPResponse.toString()Ljava/lang/String;|1962
180|getfield|50842|com/sun/org/apache/xerces/internal/impl/xs/XSAttributeGroupDecl.<init>()V|1916
182|invokevirtual|54160|scala/collection/immutable/$colon$colon.head()Ljava/lang/Object;|1888
25|aload|45|java/awt/TextArea.append(Ljava/lang/String;)V|1859
75|astore_0|||1810
25|aload|42|java/lang/String.valueOf(Ljava/lang/Object;)Ljava/lang/String;|1785
185|invokeinterface|1021|java/util/Iterator.next()Ljava/lang/Object;|1746
25|aload|47|java/applet/Applet.<init>()V|1711
180|getfield|818803|org/funktionale/currying/NamespaceKt$curried$19$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1.<init>(Lorg/funktionale/currying/NamespaceKt$curried$19$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1$1;Ljava/lang/Object;)V|1710
184|invokestatic|327596|org/yaml/snakeyaml/emitter/Emitter.access$100(Lorg/yaml/snakeyaml/emitter/Emitter;)Lorg/yaml/snakeyaml/events/Event;|1710
182|invokevirtual|71315|java/security/PrivilegedActionException.getCause()Ljava/lang/Throwable;|1700
182|invokevirtual|61348|scala/Some.x()Ljava/lang/Object;|1675
25|aload|48|sun/net/www/protocol/http/HttpURLConnection.<init>(Ljava/net/URL;Lsun/net/www/protocol/http/Handler;)V|1624
185|invokeinterface|27730|java/lang/reflect/ParameterizedType.getRawType()Ljava/lang/reflect/Type;|1589
182|invokevirtual|53589|java/lang/Throwable.getCause()Ljava/lang/Throwable;|1484
182|invokevirtual|80550|scala/collection/immutable/$colon$colon.hd$1()Ljava/lang/Object;|1440
25|aload|53|java/lang/Throwable.toString()Ljava/lang/String;|1405
185|invokeinterface|81862|scala/collection/LinearSeqOptimized.apply(I)Ljava/lang/Object;|1384
